verifiable_share,collateral_share_of_expected_value,collateral,expected_net_capability_value,maximum_pledgeable_payment,pledgeable_share,unpledgeable_expected_value,regime,disclosure,reuse,transfer_to_provider
0.03333333,0.05000000,0.01475000,0.29500000,0.02458333,0.08333333,0.27041667,strategic_withholding,0.67164179,0.67164179,-0.01651119
0.05000000,0.05000000,0.01475000,0.29500000,0.02950000,0.10000000,0.26550000,strategic_withholding,0.68656716,0.68656716,-0.02025373
0.06666667,0.05000000,0.01475000,0.29500000,0.03441667,0.11666667,0.26058333,strategic_withholding,0.69651741,0.69651741,-0.02397181
0.08333333,0.05000000,0.01475000,0.29500000,0.03933333,0.13333333,0.25566667,strategic_withholding,0.71144279,0.71144279,-0.02798342
0.10000000,0.05000000,0.01475000,0.29500000,0.04425000,0.15000000,0.25075000,strategic_withholding,0.72636816,0.72636816,-0.03214179
0.11666667,0.05000000,0.01475000,0.29500000,0.04916667,0.16666667,0.24583333,strategic_withholding,0.74129353,0.74129353,-0.03644693
0.13333333,0.05000000,0.01475000,0.29500000,0.05408333,0.18333333,0.24091667,strategic_withholding,0.75124378,0.75124378,-0.04062977
0.15000000,0.05000000,0.01475000,0.29500000,0.05900000,0.20000000,0.23600000,strategic_withholding,0.76616915,0.76616915,-0.04520398
0.16666667,0.05000000,0.01475000,0.29500000,0.06391667,0.21666667,0.23108333,strategic_withholding,0.78109453,0.78109453,-0.04992496
0.18333333,0.05000000,0.01475000,0.29500000,0.06883333,0.23333333,0.22616667,strategic_withholding,0.79601990,0.79601990,-0.05479270
0.20000000,0.05000000,0.01475000,0.29500000,0.07375000,0.25000000,0.22125000,strategic_withholding,0.80597015,0.80597015,-0.05944030
0.21666667,0.05000000,0.01475000,0.29500000,0.07866667,0.26666667,0.21633333,strategic_withholding,0.82089552,0.82089552,-0.06457711
0.23333333,0.05000000,0.01475000,0.29500000,0.08358333,0.28333333,0.21141667,strategic_withholding,0.83582090,0.83582090,-0.06986070
0.25000000,0.05000000,0.01475000,0.29500000,0.08850000,0.30000000,0.20650000,strategic_withholding,0.84577114,0.84577114,-0.07485075
