external_learning_efficiency,platform_capture_share,equivalent_pareto_tail_index,neutrality_penalty,regime,ownership_size,incremental_private_value,capture_upgrade,productive_learning_upgrade,external_access_slope,selection_margin,platform_full_rollup_capture_threshold
0.17500000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17596824,2.37461719,1.16943750,-0.01968750,0.80508024,0.41287803
0.18750000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17572214,2.39208984,1.15171875,-0.01968750,0.80208610,0.40986222
0.20000000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17547605,2.40956250,1.13400000,-0.01968750,0.79909195,0.40689016
0.21250000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17522995,2.42703516,1.11628125,-0.01968750,0.79609781,0.40396088
0.22500000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17498386,2.44450781,1.09856250,-0.01968750,0.79310367,0.40107348
0.23750000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17473777,2.46198047,1.08084375,-0.01968750,0.79010953,0.39822707
0.25000000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17449167,2.47945313,1.06312500,-0.01968750,0.78711539,0.39542077
0.26250000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17424558,2.49692578,1.04540625,-0.01968750,0.78412125,0.39265375
0.27500000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17399949,2.51439844,1.02768750,-0.01968750,0.78112711,0.38992518
0.28750000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17375339,2.53187109,1.00996875,-0.01968750,0.77813297,0.38723427
0.30000000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17350730,2.54934375,0.99225000,-0.01968750,0.77513883,0.38458025
0.31250000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17326120,2.56681641,0.97453125,-0.01968750,0.77214469,0.38196236
0.32500000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17301511,2.58428906,0.95681250,-0.01968750,0.76915055,0.37937988
0.33750000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17276902,2.60176172,0.93909375,-0.01968750,0.76615641,0.37683207
0.35000000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17252292,2.61923438,0.92137500,-0.01968750,0.76316227,0.37431826
0.36250000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17227683,2.63670703,0.90365625,-0.01968750,0.76016813,0.37183777
0.37500000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17203074,2.65417969,0.88593750,-0.01968750,0.75717399,0.36938993
0.38750000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17178464,2.67165234,0.86821875,-0.01968750,0.75417985,0.36697412
0.40000000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17153855,2.68912500,0.85050000,-0.01968750,0.75118570,0.36458969
0.41250000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17129245,2.70659766,0.83278125,-0.01968750,0.74819156,0.36223606
0.42500000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17104636,2.72407031,0.81506250,-0.01968750,0.74519742,0.35991261
0.43750000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17080027,2.74154297,0.79734375,-0.01968750,0.74220328,0.35761878
0.45000000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17055417,2.75901563,0.77962500,-0.01968750,0.73920914,0.35535401
0.46250000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17030808,2.77648828,0.76190625,-0.01968750,0.73621500,0.35311774
0.47500000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17006199,2.79396094,0.74418750,-0.01968750,0.73322086,0.35090944
0.48750000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16981589,2.81143359,0.72646875,-0.01968750,0.73022672,0.34872859
0.50000000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16956980,2.82890625,0.70875000,-0.01968750,0.72723258,0.34657467
0.51250000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16932370,2.84637891,0.69103125,-0.01968750,0.72423844,0.34444721
0.52500000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.16907761,2.86385156,0.67331250,-0.01968750,0.72124430,0.34234570
