organization_cost_scale,cross_node_learning,integration_threshold,conditional_target_size,continuous_target_size
0.10212500,0.01250000,0.97128002,3,2.67103442
0.10350000,0.01250000,0.97768138,3,2.65614343
0.10487500,0.01250000,0.98408275,3,2.64153051
0.10625000,0.01250000,0.99048411,3,2.62718692
0.10762500,0.01250000,0.99688547,3,2.61310429
0.10900000,0.01250000,1.00328684,3,2.59927465
0.11037500,0.01250000,1.00968820,3,2.58569033
0.11175000,0.01250000,1.01608956,3,2.57234401
0.11312500,0.01250000,1.02249092,3,2.55922867
0.11450000,0.01250000,1.02889229,3,2.54633758
0.11587500,0.01250000,1.03529365,3,2.53366427
0.11725000,0.01250000,1.04169501,3,2.52120255
0.11862500,0.01250000,1.04809638,3,2.50894646
0.12000000,0.01250000,1.05449774,3,2.49689028
0.01000000,0.02500000,0.35173916,7,7.10700794
0.01137500,0.02500000,0.37270151,7,6.73267476
0.01275000,0.02500000,0.39275806,6,6.41759804
0.01412500,0.02500000,0.40965136,6,6.14739057
0.01550000,0.02500000,0.42654465,6,5.91215334
0.01687500,0.02500000,0.44343795,6,5.70481667
0.01825000,0.02500000,0.46033125,6,5.52017546
0.01962500,0.02500000,0.47429604,5,5.35429895
0.02100000,0.02500000,0.48738366,5,5.20415436
0.02237500,0.02500000,0.50047128,5,5.06735834
0.02375000,0.02500000,0.51355891,5,4.94200780
0.02512500,0.02500000,0.52664653,5,4.82656176
0.02650000,0.02500000,0.53973415,5,4.71975703
0.02787500,0.02500000,0.55282177,5,4.62054668
0.02925000,0.02500000,0.56590939,5,4.52805449
0.03062500,0.02500000,0.57757060,4,4.44154062
0.03200000,0.02500000,0.58714666,4,4.36037535
0.03337500,0.02500000,0.59672271,4,4.28401879
0.03475000,0.02500000,0.60629877,4,4.21200497
0.03612500,0.02500000,0.61587483,4,4.14392929
0.03750000,0.02500000,0.62545088,4,4.07943842
0.03887500,0.02500000,0.63502694,4,4.01822224
0.04025000,0.02500000,0.64460300,4,3.96000724
0.04162500,0.02500000,0.65417905,4,3.90455109
0.04300000,0.02500000,0.66375511,4,3.85163824
0.04437500,0.02500000,0.67333116,4,3.80107619
0.04575000,0.02500000,0.68290722,4,3.75269239
