context_payment_cap,enforcement_capacity,integration_cost,regime,disclosure,monitoring,reuse,owner_payoff,provider_payoff,transfer_to_provider,period_two_route
0.00000000,0.06666667,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.08000000,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.09333333,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.10666667,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.12000000,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.13333333,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.14666667,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.16000000,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.17333333,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.18666667,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.20000000,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.21333333,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.22666667,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.24000000,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.25333333,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.26666667,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.28000000,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.29333333,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.30666667,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.32000000,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.33333333,0.01833333,secure_modular,1.00000000,0.99525000,0.00000000,1.31792567,0.05325901,0.05182433,renew
0.00000000,0.34666667,0.01833333,secure_modular,1.00000000,0.95697115,0.00000000,1.32259622,0.05792955,0.04715378,renew
0.00000000,0.36000000,0.01833333,secure_modular,1.00000000,0.92152778,0.00000000,1.32675749,0.06209083,0.04299251,renew
0.00000000,0.37333333,0.01833333,secure_modular,1.00000000,0.88861607,0.00000000,1.33048093,0.06581426,0.03926907,renew
0.00000000,0.38666667,0.01833333,secure_modular,1.00000000,0.85797414,0.00000000,1.33382586,0.06915919,0.03592414,renew
0.00000000,0.40000000,0.01833333,secure_modular,1.00000000,0.82937500,0.00000000,1.33684190,0.07217524,0.03290810,renew
0.00000000,0.41333333,0.01833333,secure_modular,1.00000000,0.80262097,0.00000000,1.33957081,0.07490414,0.03017919,renew
0.00000000,0.42666667,0.01833333,secure_modular,1.00000000,0.77753906,0.00000000,1.34204790,0.07738123,0.02770210,renew
0.00000000,0.44000000,0.01833333,secure_modular,1.00000000,0.75397727,0.00000000,1.34430323,0.07963656,0.02544677,renew
0.00000000,0.45333333,0.01833333,secure_modular,1.00000000,0.73180147,0.00000000,1.34636250,0.08169583,0.02338750,renew
0.00000000,0.46666667,0.01833333,secure_modular,1.00000000,0.71089286,0.00000000,1.34824779,0.08358113,0.02150221,renew
0.00000000,0.48000000,0.01833333,secure_modular,1.00000000,0.69114583,0.00000000,1.34997817,0.08531151,0.01977183,renew
0.00000000,0.49333333,0.01833333,secure_modular,1.00000000,0.67246622,0.00000000,1.35157016,0.08690349,0.01817984,renew
0.00000000,0.50666667,0.01833333,secure_modular,1.00000000,0.65476974,0.00000000,1.35303812,0.08837145,0.01671188,renew
0.00000000,0.52000000,0.01833333,secure_modular,1.00000000,0.63798077,0.00000000,1.35439462,0.08972795,0.01535538,renew
0.00000000,0.53333333,0.01833333,secure_modular,1.00000000,0.62203125,0.00000000,1.35565065,0.09098399,0.01409935,renew
0.00000000,0.54666667,0.01833333,secure_modular,1.00000000,0.60685976,0.00000000,1.35681591,0.09214924,0.01293409,renew
0.00000000,0.56000000,0.01833333,secure_modular,1.00000000,0.59241071,0.00000000,1.35789893,0.09323226,0.01185107,renew
0.00000000,0.57333333,0.01833333,secure_modular,1.00000000,0.57863372,0.00000000,1.35890727,0.09424061,0.01084273,renew
0.00000000,0.58666667,0.01833333,secure_modular,1.00000000,0.56548295,0.00000000,1.35984765,0.09518098,0.00990235,renew
0.00000000,0.60000000,0.01833333,secure_modular,1.00000000,0.55291667,0.00000000,1.36072603,0.09605936,0.00902397,renew
0.00000000,0.61333333,0.01833333,secure_modular,1.00000000,0.54089674,0.00000000,1.36154775,0.09688109,0.00820225,renew
0.00000000,0.62666667,0.01833333,secure_modular,1.00000000,0.52938830,0.00000000,1.36231759,0.09765092,0.00743241,renew
0.00000000,0.64000000,0.01833333,secure_modular,1.00000000,0.51835938,0.00000000,1.36303981,0.09837314,0.00671019,renew
0.00000000,0.65333333,0.01833333,secure_modular,1.00000000,0.50778061,0.00000000,1.36371826,0.09905159,0.00603174,renew
0.00000000,0.66666667,0.01833333,secure_modular,1.00000000,0.49762500,0.00000000,1.36435642,0.09968975,0.00539358,renew
0.00000000,0.68000000,0.01833333,secure_modular,1.00000000,0.48786765,0.00000000,1.36495741,0.10029074,0.00479259,renew
0.00000000,0.69333333,0.01833333,secure_modular,1.00000000,0.47848558,0.00000000,1.36552406,0.10085739,0.00422594,renew
0.00000000,0.70666667,0.01833333,secure_modular,1.00000000,0.46945755,0.00000000,1.36605893,0.10139227,0.00369107,renew
0.00000000,0.72000000,0.01833333,secure_modular,1.00000000,0.46076389,0.00000000,1.36656437,0.10189771,0.00318563,renew
0.00000000,0.73333333,0.01833333,secure_modular,1.00000000,0.45238636,0.00000000,1.36704249,0.10237583,0.00270751,renew
0.00000000,0.74666667,0.01833333,secure_modular,1.00000000,0.44430804,0.00000000,1.36749523,0.10282856,0.00225477,renew
0.00000000,0.76000000,0.01833333,secure_modular,1.00000000,0.43651316,0.00000000,1.36792435,0.10325768,0.00182565,renew
0.00000000,0.77333333,0.01833333,secure_modular,1.00000000,0.42898707,0.00000000,1.36833146,0.10366480,0.00141854,renew
0.00000000,0.78666667,0.01833333,secure_modular,1.00000000,0.42171610,0.00000000,1.36871805,0.10405139,0.00103195,renew
0.00000000,0.80000000,0.01833333,secure_modular,1.00000000,0.41468750,0.00000000,1.36908548,0.10441881,0.00066452,renew
0.00000000,0.00000000,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.01333333,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.02666667,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.04000000,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.05333333,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.06666667,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.08000000,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.09333333,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.10666667,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.12000000,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.13333333,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.14666667,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.16000000,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.17333333,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.18666667,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.20000000,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.21333333,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
0.00000000,0.22666667,0.03666667,ownership,0.00000000,0.00000000,0.00000000,1.29633333,0.05000000,0.00000000,none
