leakage,integration_cost,p_modular,p_withholding,p_ownership,p_no_trade,p_agreement,mean_disclosure,mean_context_use,mean_protection,mean_owner_payoff,mean_provider_payoff,mean_transfer_to_provider
0.46666667,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.48333333,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.50000000,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.51666667,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.53333333,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.55000000,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.56666667,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.58333333,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.60000000,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.61666667,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.63333333,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.65000000,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.66666667,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.68333333,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.70000000,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.71666667,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.73333333,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.75000000,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.76666667,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.78333333,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.80000000,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.81666667,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.83333333,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.85000000,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.86666667,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.88333333,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.90000000,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.91666667,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.93333333,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.95000000,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.96666667,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.98333333,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
1.00000000,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.00000000,0.03000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.75808528,0.01494213,0.01494213
0.01666667,0.03000000,0.99060000,0.00000000,0.00940000,0.00000000,0.99060000,0.99060000,1.00000000,0.00854749,0.75185392,0.00871077,0.00468025
0.03333333,0.03000000,0.69860000,0.00000000,0.30140000,0.00000000,0.69860000,0.69860000,1.00000000,0.01069626,0.74671600,0.00357285,-0.00139994
0.05000000,0.03000000,0.29640000,0.00000000,0.70360000,0.00000000,0.29640000,0.29640000,1.00000000,0.00580189,0.74426167,0.00111852,-0.00154966
0.06666667,0.03000000,0.09980000,0.00000000,0.90020000,0.00000000,0.09980000,0.09980000,1.00000000,0.00225329,0.74346908,0.00032593,-0.00070099
0.08333333,0.03000000,0.03260000,0.00000000,0.96740000,0.00000000,0.03260000,0.03260000,1.00000000,0.00085448,0.74324213,0.00009898,-0.00027879
0.10000000,0.03000000,0.01060000,0.00000000,0.98940000,0.00000000,0.01060000,0.01060000,1.00000000,0.00028960,0.74317339,0.00003024,-0.00010131
0.11666667,0.03000000,0.00400000,0.00000000,0.99600000,0.00000000,0.00400000,0.00400000,1.00000000,0.00012031,0.74315213,0.00000898,-0.00004438
0.13333333,0.03000000,0.00120000,0.00000000,0.99880000,0.00000000,0.00120000,0.00120000,1.00000000,0.00003990,0.74314613,0.00000298,-0.00001290
0.15000000,0.03000000,0.00040000,0.00000000,0.99960000,0.00000000,0.00040000,0.00040000,1.00000000,0.00001438,0.74314463,0.00000148,-0.00000319
0.16666667,0.03000000,0.00020000,0.00000000,0.99980000,0.00000000,0.00020000,0.00020000,1.00000000,0.00000812,0.74314402,0.00000087,-0.00000159
0.18333333,0.03000000,0.00020000,0.00000000,0.99980000,0.00000000,0.00020000,0.00020000,1.00000000,0.00000893,0.74314364,0.00000048,-0.00000220
0.20000000,0.03000000,0.00020000,0.00000000,0.99980000,0.00000000,0.00020000,0.00020000,1.00000000,0.00000974,0.74314325,0.00000010,-0.00000281
0.21666667,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.23333333,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.25000000,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.26666667,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.28333333,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.30000000,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.31666667,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.33333333,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.35000000,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.36666667,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.38333333,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.40000000,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.41666667,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.43333333,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.45000000,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.46666667,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.48333333,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.50000000,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.51666667,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.53333333,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.55000000,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.56666667,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.58333333,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.60000000,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.61666667,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.63333333,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.65000000,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
0.66666667,0.03000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.74314315,0.00000000,0.00000000
